Day_of_Year,Year_of_Period_End,Period_Begin,Period_End,Active_Listings_YOY,Active_Listings,Adjusted_Average_Homes_Sold,Adjusted_Average_Homes_Sold_YOY,Median_Sale_ppsf,Median_Sale_ppsf_YOY,Median_Sale_Price_YOY,Median_Sale_Price
115,2021,3/29/2021,4/25/2021,-0.0693,7456,893.0,0.255977496,347.85,0.153917303,0.103917051,598875.0
119,2024,4/1/2024,4/28/2024,0.0529,6132,608.0,-0.057364341,423.42,0.070387314,0.071052632,712250.0
120,2023,4/3/2023,4/30/2023,-0.0788,5824,645.0,-0.246495327,395.58,-0.001474897,-0.015179563,665000.0
121,2022,4/4/2022,5/1/2022,-0.1778,6322,856.0,-0.121149897,396.16,0.137768697,0.125182254,675250.0
122,2021,4/5/2021,5/2/2021,-0.0433,7689,974.0,0.279894875,348.19,0.160871161,0.111342593,600125.0
126,2024,4/8/2024,5/5/2024,0.0591,6430,703.0,0.010057471,425.51,0.068648735,0.069620253,718250.0
127,2023,4/10/2023,5/7/2023,-0.061399999999999996,6071,696.0,-0.247567568,398.18,-0.01020394,-0.014673514,671500.0
128,2022,4/11/2022,5/8/2022,-0.16870000000000002,6468,925.0,-0.139534884,402.28,0.14179441,0.123197363,681500.0
129,2021,4/12/2021,5/9/2021,-0.056600000000000004,7781,1075.0,0.376440461,352.32,0.186111235,0.13836773,606750.0
133,2024,4/15/2024,5/12/2024,0.0668,6657,707.0,0.027616279,420.33,0.056486115,0.051900585,719500.0
134,2023,4/17/2023,5/14/2023,-0.09050000000000001,6240,688.0,-0.275789474,397.85,-0.01566903,0.002197802,684000.0
135,2022,4/18/2022,5/15/2022,-0.12960000000000002,6861,950.0,-0.147982063,404.19,0.133413515,0.114968348,682500.0
136,2021,4/19/2021,5/16/2021,-0.0774,7883,1115.0,0.440568475,356.61,0.204487208,0.161872107,612125.0
140,2024,4/22/2024,5/19/2024,0.085,6994,758.0,0.012016021,423.13,0.063179697,0.033059335,719500.0
141,2023,4/24/2023,5/21/2023,-0.1198,6446,749.0,-0.283253589,397.98,-0.016645861,0.017123038,696475.0
142,2022,4/25/2022,5/22/2022,-0.0958,7323,1045.0,-0.127712855,404.72,0.130284848,0.109356015,684750.0
143,2021,4/26/2021,5/23/2021,-0.0898,8099,1198.0,0.5538262,358.07,0.220361381,0.162771641,617250.0
147,2024,4/29/2024,5/26/2024,0.1013,7124,774.0,0.090140845,426.4,0.065773542,0.047913281,733500.0
148,2023,5/1/2023,5/28/2023,-0.134,6469,710.0,-0.299802761,400.09,-0.00237737,0.018497636,699962.5
149,2022,5/2/2022,5/29/2022,-0.0755,7470,1014.0,-0.167487685,401.04,0.11382089,0.105544291,687250.0
150,2021,5/3/2021,5/30/2021,-0.1261,8080,1218.0,0.720338983,360.06,0.23509826,0.172448568,621639.5
154,2024,5/6/2024,6/2/2024,0.1103,7218,793.0,0.001262626,424.68,0.057293091,0.033564386,732500.0
155,2023,5/8/2023,6/4/2023,-0.1545,6501,792.0,-0.283257919,401.67,0.004486594,0.027491845,708712.5
156,2022,5/9/2022,6/5/2022,-0.060899999999999996,7689,1105.0,-0.108870968,399.87,0.107312812,0.096142722,689750.0
157,2021,5/10/2021,6/6/2021,-0.1503,8188,1240.0,0.68707483,361.12,0.242578818,0.187926439,629252.0
161,2024,5/13/2024,6/9/2024,0.11960000000000001,7384,845.0,0.019300362,432.51,0.072283936,0.061978397,746000.0
162,2023,5/15/2023,6/11/2023,-0.162,6595,829.0,-0.277874564,403.35,0.006619347,0.011101116,702462.5
163,2022,5/16/2022,6/12/2022,-0.0562,7870,1148.0,-0.055921053,400.7,0.107638443,0.104747033,694750.0
164,2021,5/17/2021,6/13/2021,-0.1664,8339,1216.0,0.665753425,361.76,0.24640346,0.187428544,628877.0
168,2024,5/20/2024,6/16/2024,0.1275,7448,886.0,0.004535147,430.38,0.061029462,0.055700961,751250.0
169,2023,5/22/2023,6/18/2023,-0.1707,6606,882.0,-0.248081841,405.63,0.010174701,0.014777184,711612.5
170,2022,5/23/2022,6/19/2022,-0.0553,7966,1173.0,-0.101837672,401.54,0.098483638,0.102157636,701250.0
171,2021,5/24/2021,6/20/2021,-0.1843,8432,1306.0,0.622360248,365.54,0.248396071,0.185130271,636252.0
175,2024,5/27/2024,6/23/2024,0.1377,7698,928.0,0.042696629,429.74,0.056468452,0.049709378,756250.0
176,2023,5/29/2023,6/25/2023,-0.19149999999999998,6766,890.0,-0.222707424,406.77,0.012719009,0.020992028,720437.5
177,2022,5/30/2022,6/26/2022,-0.048499999999999995,8369,1145.0,-0.071370641,401.66,0.105822015,0.098911795,705625.0
178,2021,5/31/2021,6/27/2021,-0.1732,8796,1233.0,0.511029412,363.22,0.222621825,0.186351039,642112.5
182,2024,6/3/2024,6/30/2024,0.16699999999999998,7839,1020.0,0.004926108,425.14,0.046243462,0.057982252,767500.0
183,2023,6/5/2023,7/2/2023,-0.20739999999999997,6717,1015.0,-0.220430108,406.35,0.01892999,0.031733333,725437.5
184,2022,6/6/2022,7/3/2022,-0.0361,8475,1302.0,-0.116689281,398.8,0.103205551,0.085697742,703125.0
185,2021,6/7/2021,7/4/2021,-0.171,8792,1474.0,0.491902834,361.49,0.20780841,0.188357264,647625.0
189,2024,6/10/2024,7/7/2024,0.1807,7665,951.0,-0.011434511,423.35,0.039132646,0.049197218,763750.0
190,2023,6/12/2023,7/9/2023,-0.23379999999999998,6492,962.0,-0.212765957,407.41,0.027870405,0.04551167,727937.5
191,2022,6/13/2022,7/10/2022,-0.0179,8473,1222.0,-0.153153153,396.36,0.103536964,0.076536529,696250.0
192,2021,6/14/2021,7/11/2021,-0.1805,8627,1443.0,0.391513983,359.18,0.189090956,0.178641396,646750.0
196,2024,6/17/2024,7/14/2024,0.1844,7522,941.0,-0.006335797,424.05,0.045198107,0.040667571,757931.2
197,2023,6/19/2023,7/16/2023,-0.2521,6351,947.0,-0.227569331,405.71,0.036165434,0.04981982,728312.5
198,2022,6/20/2022,7/17/2022,0.003,8492,1226.0,-0.139649123,391.55,0.095253477,0.072671048,693750.0
