Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
432000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,8,6,6,20,207,36,30
351200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
528000,"Jamaica Plain, Boston, MA",4.0,1.0,1,42,1,1,1,3,85,20,17
512000,"Jamaica Plain, Boston, MA",4.0,1.0,1,42,1,1,0,2,85,20,20
512000,"Jamaica Plain, Boston, MA",4.0,1.0,2,42,10,8,8,26,187,32,29
472000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,9,7,7,23,202,35,30
488000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,9,7,7,23,217,36,32
492000,"Jamaica Plain, Boston, MA",3.0,1.0,2,23,9,9,9,27,306,34,63
492000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,9,7,7,23,202,35,30
472000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,9,7,7,23,202,35,30
456000,"Jamaica Plain, Boston, MA",4.0,1.0,2,53,6,2,2,10,129,30,23
480000,"Jamaica Plain, Boston, MA",4.0,1.0,2,23,9,9,9,27,306,34,63
384000,"Jamaica Plain, Boston, MA",4.0,1.0,4,53,6,3,3,12,140,33,22
447200,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,9,5,5,19,169,35,27
440000,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,6,3,3,12,167,34,28
447200,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,9,5,5,19,169,35,27
439200,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,9,5,5,19,169,35,27
300000,"Jamaica Plain, Boston, MA",1.0,1.0,1,21,9,8,8,25,298,34,59
512000,"Jamaica Plain, Boston, MA",4.0,1.0,4,53,8,4,4,16,138,31,24
592000,"Jamaica Plain, Boston, MA",4.0,1.0,1,21,9,8,8,25,306,34,61
480000,"Jamaica Plain, Boston, MA",4.0,2.0,3,42,9,7,7,23,158,31,28
296000,"Jamaica Plain, Boston, MA",2.0,1.0,1,66,3,2,2,7,70,17,15
264000,"Jamaica Plain, Boston, MA",1.0,1.0,1,42,10,9,9,28,280,39,42
264000,"Jamaica Plain, Boston, MA",1.0,1.0,1,42,9,8,8,25,290,36,55
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
359200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,306,34,61
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,306,34,61
368000,"Jamaica Plain, Boston, MA",2.0,1.0,2,42,9,7,7,23,190,33,29
512000,"Jamaica Plain, Boston, MA",4.0,1.0,2,53,6,2,2,10,129,30,23
504000,"Jamaica Plain, Boston, MA",4.0,1.0,2,53,6,2,2,10,129,30,23
496000,"Jamaica Plain, Boston, MA",4.0,1.0,2,53,6,3,3,12,167,34,28
328000,"Jamaica Plain, Boston, MA",2.0,1.0,2,53,8,4,4,16,173,38,29
320000,"Jamaica Plain, Boston, MA",1.0,1.0,2,42,9,7,7,23,190,33,29
424000,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,8,5,5,18,159,33,27
444000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,1,1,0,2,77,15,20
559200,"Jamaica Plain, Boston, MA",4.0,1.0,4,42,6,2,2,10,119,25,24
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,306,34,61
