Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife,Median Household Income by Area,Median Age by Area,Total Population by Area,Occupied by Area,Vacant by Area,Work Commute Short by Area,Work Commute Average by Area,Work Commute Long by Area,Compare Median Sale Price
376000,East Boston,2.0,1.0,1,41,5,3,3,11,422,59,169,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
504000,East Boston,3.0,1.0,2,41,7,4,0,11,285,38,99,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
504000,East Boston,3.0,1.0,2,41,7,4,0,11,285,38,99,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
496000,East Boston,3.0,1.0,2,41,5,2,2,9,167,43,32,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
456000,East Boston,3.0,1.0,1,41,3,0,1,4,199,31,53,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
352000,East Boston,2.0,1.5,1,41,5,3,3,11,284,38,105,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
432000,East Boston,3.0,1.0,1,41,6,3,3,12,204,32,59,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
464000,East Boston,3.0,1.0,1,41,2,2,2,6,141,24,26,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
592000,East Boston,6.0,2.5,1,41,3,2,2,7,289,42,111,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
800000,East Boston,5.0,2.0,2,41,4,3,3,10,501,64,203,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,1
575200,East Boston,4.0,1.5,3,41,5,2,2,9,164,37,36,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
416000,East Boston,2.0,1.0,4,41,4,2,0,6,439,59,178,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
720000,East Boston,5.0,3.0,1,41,4,1,1,6,54,9,9,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,1
512000,East Boston,3.0,1.0,2,41,4,1,1,6,199,31,56,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
584000,East Boston,4.0,2.0,2,41,7,4,0,11,225,32,69,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
400000,East Boston,2.0,1.0,4,41,4,2,0,6,439,59,178,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
428000,East Boston,2.0,1.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
416000,East Boston,2.0,1.0,2,41,7,4,0,11,225,32,69,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
416000,East Boston,2.0,1.0,3,41,6,4,0,10,406,64,163,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
416000,East Boston,2.0,1.0,2,41,6,3,3,12,205,39,56,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
440000,East Boston,3.0,1.0,2,41,6,3,3,12,215,33,59,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
400000,East Boston,2.0,1.0,3,41,6,4,0,10,406,64,163,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
400000,East Boston,2.0,1.0,2,41,5,3,3,11,444,59,179,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
