Day of Year,Year of Period End,Period Begin,Period End,adjusted_average_homes_sold,adjusted_average_homes_sold_yoy,Average Homes Sold Yoy (tooltip)
338,2022,11/7/2022,12/4/2022,774,-0.310160428,-31.00%
339,2021,11/8/2021,12/5/2021,"1,122",-0.036082474,-3.60%
344,2023,11/13/2023,12/10/2023,714,-0.118518519,-11.90%
345,2022,11/14/2022,12/11/2022,810,-0.303525365,-30.40%
346,2021,11/15/2021,12/12/2021,"1,163",-0.005132592,-0.50%
351,2023,11/20/2023,12/17/2023,687,-0.114690722,-11.50%
352,2022,11/21/2022,12/18/2022,776,-0.319894829,-32.00%
353,2021,11/22/2021,12/19/2021,"1,141",-0.04438861,-4.40%
358,2023,11/27/2023,12/24/2023,746,-0.0968523,-9.70%
359,2022,11/28/2022,12/25/2022,826,-0.295221843,-29.50%
360,2021,11/29/2021,12/26/2021,"1,172",-0.02006689,-2.00%
365,2023,12/4/2023,12/31/2023,616,-0.150344828,-15.00%
