Rent,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
1735,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,34,6,3
2120,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,47,7,5
2095,"West Roxbury, Boston, MA",2.0,1.0,1,83,3,2,2,7,34,7,3
1800,"West Roxbury, Newton, MA",1.0,1.0,1,77,3,3,3,9,14,5,2
2100,"West Roxbury, Boston, MA",2.0,1.0,1,83,0,0,0,0,59,12,6
2190,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,44,7,4
2320,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,34,6,3
2475,"West Roxbury, Boston, MA",2.0,1.0,1,83,3,2,2,7,76,18,16
2120,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,42,6,4
2125,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,47,7,4
2110,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,47,7,5
1775,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,34,6,3
1800,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,6,6,16,60,9,6
2690,"West Roxbury, Boston, MA",2.0,1.0,1,77,2,2,2,6,42,5,7
3060,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,1,1,1,3,47,8,7
2850,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,2,2,2,6,34,5,4
3180,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,2,2,2,6,38,5,6
1830,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,42,6,4
1700,"West Roxbury, Boston, MA",1.0,1.0,1,83,3,1,0,4,43,6,3
1830,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,44,7,4
1820,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,47,7,5
2800,"West Roxbury, Boston, MA",1.0,1.0,1,83,5,4,0,9,62,13,8
2862,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,4,2,2,8,50,9,5
3050,"West Roxbury, Newton, MA",2.0,1.5,1,77,2,2,2,6,42,6,7
1830,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,47,7,5
2850,"West Roxbury, Boston, MA",2.0,1.0,1,77,2,2,2,6,34,5,4
1845,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,48,8,5
3070,"West Roxbury, Chestnut Hill, MA",2.0,1.5,1,77,2,2,2,6,42,5,7
1895,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,47,7,5
2420,"West Roxbury, Boston, MA",2.0,2.0,1,83,3,2,2,7,35,6,3
3600,"West Roxbury, West Roxbury, MA",2.0,2.5,1,83,1,1,0,2,46,8,4
1780,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,47,7,5
1795,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,42,6,4
2520,"West Roxbury, Boston, MA",2.0,2.0,1,83,3,2,2,7,35,6,3
2095,"West Roxbury, Boston, MA",1.0,1.0,1,83,3,2,2,7,35,6,3
2490,"West Roxbury, Boston, MA",2.0,2.0,1,83,3,2,2,7,35,6,3
2040,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,48,8,5
2015,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,45,7,4
1775,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,2,2,8,47,7,5
2140,"West Roxbury, Boston, MA",2.0,0.0,1,83,4,2,2,8,47,7,5
2170,"West Roxbury, Boston, MA",2.0,0.0,1,83,4,2,2,8,42,6,4
2165,"West Roxbury, West Roxbury, MA",2.0,2.0,1,83,4,2,2,8,48,8,5
2400,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,3,2,2,7,62,14,9
2695,"West Roxbury, West Roxbury, MA",4.0,2.0,1,83,0,0,0,0,59,13,7
2695,"West Roxbury, West Roxbury, MA",4.0,2.0,1,83,0,0,0,0,59,13,7
1850,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,3,3,3,9,18,3,2
1800,"West Roxbury, Boston, MA",2.0,1.0,1,83,5,7,7,19,58,8,6
1850,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,3,3,3,9,18,3,2
1750,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,2,2,2,6,25,4,2
1600,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,5,4,0,9,59,13,7
2044,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,3,2,2,7,34,6,3
1695,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,0,0,0,0,59,12,6
2089,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,4,2,2,8,34,6,3
2200,"West Roxbury, Boston, MA",2.0,1.0,1,83,3,2,0,5,63,14,9
1950,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,3,3,3,9,28,5,3
1800,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,3,3,3,9,12,3,1
2000,"West Roxbury, Boston, MA",1.0,1.0,1,77,3,3,3,9,28,5,3
2850,"West Roxbury, West Roxbury, MA",4.0,2.0,1,83,0,0,0,0,59,13,7
2200,"West Roxbury, Boston, MA",2.0,1.0,1,83,1,0,0,1,51,10,5
2950,"West Roxbury, West Roxbury, MA",3.0,1.5,1,83,1,1,1,3,67,15,15
2100,"West Roxbury, Boston, MA",2.0,1.0,1,83,0,1,1,2,62,12,7
2200,"West Roxbury, Boston, MA",2.0,1.0,1,83,3,5,5,13,59,10,7
2950,"West Roxbury, Boston, MA",3.0,1.0,1,83,3,2,0,5,62,13,9
3050,"West Roxbury, West Roxbury, MA",3.0,1.5,1,83,1,1,1,3,48,6,5
2600,"West Roxbury, Boston, MA",2.0,2.0,1,83,3,3,3,9,12,3,1
2600,"West Roxbury, West Roxbury, MA",2.0,2.0,1,83,4,2,2,8,46,8,4
1819,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,4,2,2,8,35,6,3
1795,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,5,7,7,19,59,8,6
2794,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,2,2,2,6,43,7,7
1800,"West Roxbury, Newton, MA",1.0,1.0,1,77,3,3,3,9,12,3,1
2850,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,2,2,2,6,34,5,4
2150,"West Roxbury, West Roxbury, MA",2.0,1.5,1,83,4,2,2,8,34,6,3
3300,"West Roxbury, West Roxbury, MA",2.0,2.0,1,83,1,2,2,5,42,6,3
3079,"West Roxbury, West Roxbury, MA",2.0,1.5,1,83,1,1,1,3,43,7,7
3050,"West Roxbury, West Roxbury, MA",2.0,1.5,1,83,2,2,2,6,43,7,7
2200,"West Roxbury, Boston, MA",2.0,2.0,1,83,4,6,6,16,59,8,6
2750,"West Roxbury, Boston, MA",2.0,2.0,1,83,3,5,5,13,57,9,6
2500,"West Roxbury, Boston, MA",2.0,2.0,1,83,0,0,0,0,71,16,9
1025,"West Roxbury, West Roxbury, MA",2.0,2.0,1,83,1,2,2,5,49,6,5
2450,"West Roxbury, Boston, MA",3.0,1.0,1,20,2,2,2,6,15,3,0
2150,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,4,5,5,14,60,9,6
2350,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,2,1,1,4,79,16,15
2050,"West Roxbury, Boston, MA",2.0,1.0,1,83,2,2,2,6,25,4,2
2500,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,3,2,2,7,62,14,9
2200,"West Roxbury, Boston, MA",3.0,1.0,1,83,3,5,5,13,60,12,7
2550,"West Roxbury, Boston, MA",3.0,1.0,1,83,2,0,0,2,55,9,5
970,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,1,1,0,2,48,6,5
2700,"West Roxbury, Boston, MA",3.0,1.0,1,20,2,2,2,6,15,3,0
2000,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,3,5,5,13,54,9,6
2050,"West Roxbury, Boston, MA",2.0,1.0,1,83,5,6,6,17,56,8,6
2025,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,2,1,1,4,43,9,2
2025,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,2,1,1,4,43,9,2
875,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,2,1,1,4,58,6,10
800,"West Roxbury, West Roxbury, MA",3.0,3.0,1,83,1,1,1,3,61,11,7
1850,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,3,3,3,9,18,3,2
1975,"West Roxbury, Boston, MA",2.0,1.0,1,83,2,1,1,4,43,9,2
