Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Year-over-Year,Median Sale Price Year-over-year,Median Sale Price
162,10/9/2024 13:59,2023,5/15/2023,6/11/2023,1.11%,0.011101116,"702,462.50"
163,10/9/2024 13:59,2022,5/16/2022,6/12/2022,10.47%,0.104747033,"694,750"
164,10/9/2024 13:59,2021,5/17/2021,6/13/2021,18.74%,0.187428544,"628,877"
168,10/9/2024 13:59,2024,5/20/2024,6/16/2024,5.57%,0.055700961,"751,250"
169,10/9/2024 13:59,2023,5/22/2023,6/18/2023,1.48%,0.014777184,"711,612.50"
170,10/9/2024 13:59,2022,5/23/2022,6/19/2022,10.22%,0.102157636,"701,250"
171,10/9/2024 13:59,2021,5/24/2021,6/20/2021,18.51%,0.185130271,"636,252"
175,10/9/2024 13:59,2024,5/27/2024,6/23/2024,4.97%,0.049709378,"756,250"
176,10/9/2024 13:59,2023,5/29/2023,6/25/2023,2.10%,0.020992028,"720,437.50"
177,10/9/2024 13:59,2022,5/30/2022,6/26/2022,9.89%,0.098911795,"705,625"
178,10/9/2024 13:59,2021,5/31/2021,6/27/2021,18.64%,0.186351039,"642,112.50"
182,10/9/2024 13:59,2024,6/3/2024,6/30/2024,5.80%,0.057982252,"767,500"
183,10/9/2024 13:59,2023,6/5/2023,7/2/2023,3.17%,0.031733333,"725,437.50"
184,10/9/2024 13:59,2022,6/6/2022,7/3/2022,8.57%,0.085697742,"703,125"
185,10/9/2024 13:59,2021,6/7/2021,7/4/2021,18.84%,0.188357264,"647,625"
189,10/9/2024 13:59,2024,6/10/2024,7/7/2024,4.92%,0.049197218,"763,750"
190,10/9/2024 13:59,2023,6/12/2023,7/9/2023,4.55%,0.04551167,"727,937.50"
191,10/9/2024 13:59,2022,6/13/2022,7/10/2022,7.65%,0.076536529,"696,250"
192,10/9/2024 13:59,2021,6/14/2021,7/11/2021,17.86%,0.178641396,"646,750"
196,10/9/2024 13:59,2024,6/17/2024,7/14/2024,4.07%,0.040667571,"757,931.20"
197,10/9/2024 13:59,2023,6/19/2023,7/16/2023,4.98%,0.04981982,"728,312.50"
198,10/9/2024 13:59,2022,6/20/2022,7/17/2022,7.27%,0.072671048,"693,750"
199,10/9/2024 13:59,2021,6/21/2021,7/18/2021,17.12%,0.171171171,"646,750"
203,10/9/2024 13:59,2024,6/24/2024,7/21/2024,4.60%,0.045985144,"760,431.20"
204,10/9/2024 13:59,2023,6/26/2023,7/23/2023,4.93%,0.049251308,"727,000"
205,10/9/2024 13:59,2022,6/27/2022,7/24/2022,6.93%,0.069309299,"692,875"
206,10/9/2024 13:59,2021,6/28/2021,7/25/2021,16.82%,0.168168993,"647,965"
210,10/9/2024 13:59,2024,7/1/2024,7/28/2024,3.73%,0.037260041,"756,681.20"
211,10/9/2024 13:59,2023,7/3/2023,7/30/2023,6.24%,0.062443109,"729,500"
212,10/9/2024 13:59,2022,7/4/2022,7/31/2022,7.86%,0.07859847,"686,625"
213,10/9/2024 13:59,2021,7/5/2021,8/1/2021,14.76%,0.147610109,"636,590"
217,10/9/2024 13:59,2024,7/8/2024,8/4/2024,2.43%,0.024329986,"754,931.20"
218,10/9/2024 13:59,2023,7/10/2023,8/6/2023,5.72%,0.057199211,"737,000"
219,10/9/2024 13:59,2022,7/11/2022,8/7/2022,9.14%,0.091449238,"697,125"
220,10/9/2024 13:59,2021,7/12/2021,8/8/2021,14.15%,0.141522398,"638,715"
224,10/9/2024 13:59,2024,7/15/2024,8/11/2024,2.64%,0.026360257,"759,250"
225,10/9/2024 13:59,2023,7/17/2023,8/13/2023,7.07%,0.070743622,"739,750"
226,10/9/2024 13:59,2022,7/18/2022,8/14/2022,9.45%,0.094516132,"690,875"
227,10/9/2024 13:59,2021,7/19/2021,8/15/2021,12.76%,0.127614446,"631,215"
231,10/9/2024 13:59,2024,7/22/2024,8/18/2024,1.98%,0.01980198,"746,750"
232,10/9/2024 13:59,2023,7/24/2023,8/20/2023,6.72%,0.06722536,"732,250"
233,10/9/2024 13:59,2022,7/25/2022,8/21/2022,9.17%,0.091686555,"686,125"
234,10/9/2024 13:59,2021,7/26/2021,8/22/2021,11.03%,0.110287302,"628,500"
238,10/9/2024 13:59,2024,7/29/2024,8/25/2024,1.66%,0.01658604,"735,500"
239,10/9/2024 13:59,2023,7/31/2023,8/27/2023,6.42%,0.064166207,"723,500"
240,10/9/2024 13:59,2022,8/1/2022,8/28/2022,7.90%,0.078952589,"679,875"
241,10/9/2024 13:59,2021,8/2/2021,8/29/2021,10.58%,0.105832248,"630,125"
245,10/9/2024 13:59,2024,8/5/2024,9/1/2024,2.49%,0.024921025,"730,000"
246,10/9/2024 13:59,2023,8/7/2023,9/3/2023,6.70%,0.067041199,"712,250"
247,10/9/2024 13:59,2022,8/8/2022,9/4/2022,7.21%,0.072073881,"667,500"
248,10/9/2024 13:59,2021,8/9/2021,9/5/2021,8.99%,0.089934354,"622,625"
252,10/9/2024 13:59,2024,8/12/2024,9/8/2024,3.61%,0.036071429,"725,250"
253,10/9/2024 13:59,2023,8/14/2023,9/10/2023,6.18%,0.061812666,"700,000"
254,10/9/2024 13:59,2022,8/15/2022,9/11/2022,5.88%,0.058823529,"659,250"
255,10/9/2024 13:59,2021,8/16/2021,9/12/2021,9.96%,0.099558499,"622,625"
259,10/9/2024 13:59,2024,8/19/2024,9/15/2024,3.08%,0.030843806,"717,725"
260,10/9/2024 13:59,2023,8/21/2023,9/17/2023,6.83%,0.068277714,"696,250"
261,10/9/2024 13:59,2022,8/22/2022,9/18/2022,5.83%,0.058250457,"651,750"
262,10/9/2024 13:59,2021,8/23/2021,9/19/2021,9.98%,0.099776786,"615,875"
266,10/9/2024 13:59,2024,8/26/2024,9/22/2024,3.03%,0.030321648,"712,725"
267,10/9/2024 13:59,2023,8/28/2023,9/24/2023,7.04%,0.07040619,"691,750"
268,10/9/2024 13:59,2022,8/29/2022,9/25/2022,6.03%,0.060295324,"646,250"
269,10/9/2024 13:59,2021,8/30/2021,9/26/2021,9.28%,0.092783505,"609,500"
273,10/9/2024 13:59,2024,9/2/2024,9/29/2024,3.17%,0.031686349,"708,510.60"
274,10/9/2024 13:59,2023,9/4/2023,10/1/2023,6.72%,0.067210567,"686,750"
275,10/9/2024 13:59,2022,9/5/2022,10/2/2022,6.06%,0.060568603,"643,500"
276,10/9/2024 13:59,2021,9/6/2021,10/3/2021,9.52%,0.095216606,"606,750"
280,10/9/2024 13:59,2024,9/9/2024,10/6/2024,3.20%,0.032048012,"700,760.60"
281,10/9/2024 13:59,2023,9/11/2023,10/8/2023,6.43%,0.064263323,"679,000"
282,10/9/2024 13:59,2022,9/12/2022,10/9/2022,6.02%,0.060240964,"638,000"
283,10/9/2024 13:59,2021,9/13/2021,10/10/2021,8.61%,0.086130167,"601,750"
288,10/9/2024 13:59,2023,9/18/2023,10/15/2023,7.83%,0.078284815,"685,250"
289,10/9/2024 13:59,2022,9/19/2022,10/16/2022,5.96%,0.05960817,"635,500"
290,10/9/2024 13:59,2021,9/20/2021,10/17/2021,8.25%,0.082520262,"599,750"
295,10/9/2024 13:59,2023,9/25/2023,10/22/2023,6.60%,0.066015625,"682,250"
296,10/9/2024 13:59,2022,9/26/2022,10/23/2022,6.71%,0.067111296,"640,000"
297,10/9/2024 13:59,2021,9/27/2021,10/24/2021,8.06%,0.080569885,"599,750"
302,10/9/2024 13:59,2023,10/2/2023,10/29/2023,9.24%,0.092423641,"688,500"
303,10/9/2024 13:59,2022,10/3/2022,10/30/2022,5.48%,0.054811715,"630,250"
304,10/9/2024 13:59,2021,10/4/2021,10/31/2021,8.38%,0.083838883,"597,500"
309,10/9/2024 13:59,2023,10/9/2023,11/5/2023,8.32%,0.083202512,"690,000"
310,10/9/2024 13:59,2022,10/10/2022,11/6/2022,5.67%,0.056713323,"637,000"
311,10/9/2024 13:59,2021,10/11/2021,11/7/2021,8.86%,0.088600451,"602,812.50"
316,10/9/2024 13:59,2023,10/16/2023,11/12/2023,5.24%,0.052446939,"675,000"
317,10/9/2024 13:59,2022,10/17/2022,11/13/2022,5.20%,0.051952845,"641,362.50"
318,10/9/2024 13:59,2021,10/18/2021,11/14/2021,10.10%,0.101015801,"609,687.50"
323,10/9/2024 13:59,2023,10/23/2023,11/19/2023,5.72%,0.057241689,"676,225"
324,10/9/2024 13:59,2022,10/24/2022,11/20/2022,4.27%,0.042669384,"639,612.50"
325,10/9/2024 13:59,2021,10/25/2021,11/21/2021,10.90%,0.109039548,"613,437.50"
330,10/9/2024 13:59,2023,10/30/2023,11/26/2023,3.79%,0.037894037,"663,850"
331,10/9/2024 13:59,2022,10/31/2022,11/27/2022,3.84%,0.038437341,"639,612.50"
332,10/9/2024 13:59,2021,11/1/2021,11/28/2021,11.86%,0.11861521,"615,937.50"
337,10/9/2024 13:59,2023,11/6/2023,12/3/2023,4.88%,0.048771371,"666,350"
338,10/9/2024 13:59,2022,11/7/2022,12/4/2022,3.58%,0.03584675,"635,362.50"
339,10/9/2024 13:59,2021,11/8/2021,12/5/2021,10.64%,0.106426156,"613,375"
344,10/9/2024 13:59,2023,11/13/2023,12/10/2023,7.23%,0.072299721,"672,600"
345,10/9/2024 13:59,2022,11/14/2022,12/11/2022,2.16%,0.021579805,"627,250"
346,10/9/2024 13:59,2021,11/15/2021,12/12/2021,10.51%,0.105061867,"614,000"
351,10/9/2024 13:59,2023,11/20/2023,12/17/2023,9.06%,0.090562249,"678,875"
352,10/9/2024 13:59,2022,11/21/2022,12/18/2022,0.97%,0.00973236,"622,500"
353,10/9/2024 13:59,2021,11/22/2021,12/19/2021,11.08%,0.110810811,"616,500"
358,10/9/2024 13:59,2023,11/27/2023,12/24/2023,10.73%,0.107287449,"683,750"
359,10/9/2024 13:59,2022,11/28/2022,12/25/2022,-0.44%,-0.004433696,"617,500"
360,10/9/2024 13:59,2021,11/29/2021,12/26/2021,12.01%,0.120090293,"620,250"
365,10/9/2024 13:59,2023,12/4/2023,12/31/2023,10.51%,0.105110096,"665,000"
