Day of Year,Year of Period End,Period Begin,Period End,Median Sale Ppsf (tooltip),Median Sale Ppsf Yoy (tooltip),Median Sale Ppsf Yoy,Median Sale Ppsf
219,2022,7/11/2022,8/7/2022,$380.56 ,6.74%,0.067371883,$381 
220,2021,7/12/2021,8/8/2021,$356.54 ,15.85%,0.158535351,$357 
224,2024,7/15/2024,8/11/2024,$417.58 ,3.58%,0.035840467,$418 
225,2023,7/17/2023,8/13/2023,$403.13 ,6.64%,0.066377031,$403 
226,2022,7/18/2022,8/14/2022,$378.04 ,6.84%,0.068432025,$378 
227,2021,7/19/2021,8/15/2021,$353.83 ,15.21%,0.152139456,$354 
231,2024,7/22/2024,8/18/2024,$413.69 ,2.71%,0.027050658,$414 
232,2023,7/24/2023,8/20/2023,$402.80 ,6.80%,0.068006787,$403 
233,2022,7/25/2022,8/21/2022,$377.15 ,6.69%,0.066884636,$377 
234,2021,7/26/2021,8/22/2021,$353.50 ,13.96%,0.13957655,$354 
238,2024,7/29/2024,8/25/2024,$411.22 ,2.75%,0.027510704,$411 
239,2023,7/31/2023,8/27/2023,$400.21 ,6.44%,0.064359458,$400 
240,2022,8/1/2022,8/28/2022,$376.01 ,6.07%,0.060703054,$376 
241,2021,8/2/2021,8/29/2021,$354.50 ,14.06%,0.140596255,$354 
245,2024,8/5/2024,9/1/2024,$410.08 ,3.21%,0.032078448,$410 
246,2023,8/7/2023,9/3/2023,$397.33 ,6.58%,0.065757417,$397 
247,2022,8/8/2022,9/4/2022,$372.82 ,5.53%,0.055283833,$373 
248,2021,8/9/2021,9/5/2021,$353.29 ,14.13%,0.14134209,$353 
252,2024,8/12/2024,9/8/2024,$404.74 ,2.52%,0.025170369,$405 
253,2023,8/14/2023,9/10/2023,$394.80 ,7.22%,0.072218313,$395 
254,2022,8/15/2022,9/11/2022,$368.21 ,3.84%,0.038361953,$368 
255,2021,8/16/2021,9/12/2021,$354.61 ,14.81%,0.14809136,$355 
259,2024,8/19/2024,9/15/2024,$406.09 ,3.75%,0.037476829,$406 
